,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
DFOSCQBR,0,-2242.0870992929254,5.218969144579205,0.0,0.5231991955758205,20.33865627175251,0.0,False,log
DFOSQBR,1,-2243.9058681955185,4.274408328994923,1.8187689025927618,2.2615163821822697e-12,20.202049488107246,1.8469645409047237,False,log
HCQBR,2,-2246.642221192509,11.566779452168703,4.555121899583934,2.9908330889423908e-12,19.92381864230409,2.7853289664319583,False,log
HQBR,3,-2246.7820416171107,5.930870218107884,4.694942324185096,1.9839612952882568e-12,20.119642562970025,3.2584159621601336,False,log
FHCQBR,4,-2250.8376419453953,9.82483003131074,8.750542652469909,0.2237261265978587,20.107587972982344,5.164632881392088,False,log
FHQBR,5,-2252.0338782196495,12.364617046947387,9.946778926724146,2.237346676351123e-12,19.92158928078688,4.873682820893183,False,log
FOSQBR,6,-2253.984952425996,3.532400989955022,11.897853133070473,3.3337829306887283e-12,20.031300093075956,3.8072345434359183,False,log
DFCQBR,7,-2254.1835808692003,5.522825621314041,12.096481576274918,3.754459981843796e-12,20.040604261642866,3.3193533421964605,False,log
FOSCQBR,8,-2254.7516615108157,4.15437748010072,12.664562217889994,3.4357469316613227e-12,20.04896169968682,3.829426989004767,False,log
FCQBR,9,-2258.9695566565533,4.193043328293243,16.882457363627964,3.930189587111863e-12,19.94010479513945,4.3739159632194164,False,log
DFQBR,10,-2260.3893056365996,3.4560869271335832,18.302206343673852,3.440757840527658e-12,19.586307466927714,5.128298491587815,False,log
FRBR,11,-2263.033640681342,3.5817100636427313,20.946541388416975,3.766384321492697e-12,20.04304426304792,5.409901443884016,False,log
OSCQBR,12,-2267.2441875727236,4.142617572484596,25.15708827979779,0.17429227370419093,18.543153022437917,10.078962504743773,True,log
FQBR,13,-2267.770223526448,2.6878087397499257,25.683124233522335,3.600417094415018e-12,19.62714570022298,6.433096564979839,False,log
CQBR,14,-2275.7524751610586,3.677821341087565,33.66537586813333,8.191066952105339e-13,18.119582666131972,9.773841004692642,False,log
DECQBR,15,-2276.803575748915,4.356472850118735,34.716476455989906,1.0241191917976769e-12,18.08115720269471,9.797576217848928,False,log
OSQBR,16,-2279.112255399974,2.8982639073310565,37.025156107048815,0.07878240408626346,18.31703515651993,11.437908821493354,False,log
ESBR,17,-2281.033412989328,3.7058723465647745,38.94631369640259,1.7632994781824632e-12,18.043449086693492,9.909998566773004,True,log
SBR,18,-2291.2046104718584,3.441973512439745,49.11751117893257,3.373830164022147e-12,17.852507698190504,10.202991730584655,False,log
DEQBR,19,-2321.673018168016,4.065222708868532,79.58591887509037,2.657236337666091e-12,17.318274902707714,13.17535166901224,False,log
IQBR,20,-2323.490566762438,2.5220230361564973,81.40346746951238,2.3217565579202895e-12,17.312732316979755,13.36952847642026,False,log
RBR,21,-2368.6904657351647,1.9386283792796348,126.60336644223932,0.0,15.065457038723462,16.5036739267031,True,log
