,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
HQES,0,-2241.256769168359,6.122020241858081,0.0,0.5020927969627464,20.837370688697753,0.0,True,log
HCQES,1,-2243.2362928588846,18.051357477831516,1.9795236905256708,0.0320165448054858,20.776055955634675,6.111307195228091,True,log
OSCQES,2,-2244.2110203666534,6.4169069960589695,2.9542511982946955,0.2738488558841482,20.74925703630036,6.661877499689176,True,log
DECQES,3,-2251.0976465757058,6.134759860920894,9.840877407346424,0.0,20.507218467655537,6.645534610769199,True,log
CQES,4,-2252.5463086025893,4.9812425633176645,11.289539434230413,0.0,20.477888962524915,6.53913589155379,True,log
DFCQES,5,-2259.417475676082,3.747675730091032,18.16070650772311,0.0,20.116538690848625,6.239156981998926,True,log
FCQES,6,-2259.428928570623,3.8176810215804835,18.1721594022642,0.0,20.093223217579716,6.227490401683382,True,log
ESES,7,-2260.275725671048,4.591873287676208,19.01895650268923,0.0,20.196060967121646,7.062919935371584,True,log
FQES,8,-2267.711921574506,2.6641755662049036,26.455152406146972,0.0,19.91266769185065,7.0824521441373225,True,log
DFQES,9,-2267.8390578122385,2.6785337297596925,26.58228864387932,0.0,19.990807751597142,7.108868834559308,True,log
OSQES,10,-2275.734969209533,3.601688832688069,34.47820004117416,0.1920418024334367,19.602538373408382,12.034153000948622,True,log
SES,11,-2285.3808470908066,4.59873927103672,44.12407792244755,0.0,19.16339462695796,9.35294667259803,True,log
DEQES,12,-2319.1586346815316,5.522823597847491,77.90186551317235,0.0,18.013103730423985,13.260553634726186,True,log
IQES,13,-2321.504480042202,3.2645069501304533,80.24771087384309,0.0,17.947409405880045,13.473887047128692,True,log
RES,14,-2453.3963060952974,2.3372573481028667,212.13953692693818,0.0,9.201149013189761,19.771401244752028,True,log
