,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
OSCQES,0,-2244.2110203666534,6.4169069960589695,0.0,0.6180203673709175,20.74925703630036,0.0,True,log
CQES,1,-2252.5463086025893,4.9812425633176645,8.335288235935717,2.0392688851452406e-13,20.477888962524915,4.093458191743449,True,log
OSCQS,2,-2258.0953286424547,7.3021099872921695,13.884308275801278,0.16308584070601992,20.816281802232073,6.911961282125028,True,log
CQS,3,-2262.5997233716744,4.829938923467125,18.388703005020773,1.8989231264919746e-13,20.723002603112292,7.362063588624603,True,log
DFQS,4,-2266.8900900476847,2.491965202015308,22.679069681031145,0.21889379192275488,20.081137995390616,9.215240160285344,True,log
FQS,5,-2266.9464512195436,2.5685575992570193,22.735430852889824,7.153992146604501e-14,20.008704727335537,9.198006058444545,True,log
FQES,6,-2267.711921574506,2.6641755662049036,23.50090120785228,7.944343671535586e-14,19.91266769185065,9.217752592725393,True,log
DFQES,7,-2267.8390578122385,2.6785337297596925,23.628037445584624,7.763711052504059e-14,19.990807751597142,9.242237533151004,True,log
IQES,8,-2321.504480042202,3.2645069501304533,77.29345967554839,8.075203109084868e-14,17.947409405880045,14.109206078061595,True,log
IQS,9,-2322.3136422143934,2.3462692217049153,78.1026218477395,0.0,17.966310814854726,14.259788095612343,True,log
