FlyID,Session Name,p1,p2,p3,sum
0,20200617T114331_Y-Arena1_Cam0BR_V2_64f_Fly4,0.89,0.11,0.67,1
1,20200617T142343_Y-Arena1_Cam0BR_V2_64f_Fly5,0.8,0.11,0.89,1
2,20200620T132517_Y-Arena1_Cam0BR_V2_64f_Fly12,0.2,0.8,0.33,1
3,20200623T150218_Y-Arena1_Cam0BR_V2_64f_Fly16,0.5,0.89,0.2,1
4,20200624T134618_Y-Arena1_Cam0BR_V2_64f_Fly18,0.2,0.8,0.89,1
5,20210324T085138_Y-Arena1_Cam0BR_V2_gr64f_Fly1_round2,0.67,0.33,0.89,1
6,20210324T144413_Y-Arena1_Cam0BR_V2_gr64f_Fly3_round2,0.5,0.67,0.2,1
7,20210324T173338_Y-Arena1_Cam0BR_V2_gr64f_Fly4_round2,0.33,0.5,0.67,1
8,20210410T182854_Y-Arena1_Cam0BR_V2_gr64f_Fly7_round2,0.2,0.67,0.8,1
9,20210412T105011_Y-Arena1_Cam0BR_V2_gr64f_Fly8_round2,0.67,0.2,0.5,1
10,20210413T132142_Y-Arena1_Cam0BR_V2_gr64f_Fly9_round2,0.5,0.89,0.33,1
11,20200715T141812_Y-Arena1_Cam0BR_V2_64f_Fly25,0.055,0.445,0.25,0.5
12,20200717T100639_Y-Arena1_Cam0BR_V2_64f_Fly30,0.445,0.055,0.333,0.5
13,20200717T142109_Y-Arena1_Cam0BR_V2_64f_Fly31,0.4,0.055,0.445,0.5
14,20200721T141229_Y-Arena1_Cam0BR_V2_64f_Fly35,0.333,0.167,0.445,0.5
15,20200722T101330_Y-Arena1_Cam0BR_V2_64f_Fly36,0.445,0.1,0.25,0.5
16,20200723T142915_Y-Arena1_Cam0BR_V2_64f_Fly39,0.25,0.445,0.1,0.5
17,20200804T141505_Y-Arena1_Cam0BR_V2_64f_Fly43,0.4,0.167,0.333,0.5
