Model Category,Model,ModelAbv,Variant,Parameter Name,Parameter Type,Description,Prior Distribution,Default Prior Distribution,AgentClass,SHORTCODE,FittingExtras,OptimizationAlgorithm,FitDir,RPE,Forgetting,Future Discounting,Perseverance,On-Policy
Value-Based RL,RPE-free Q-Learning,RF-QL,e-greedy,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",RewardLearner_egreedy,RE,None,NUTS,None,-,-,-,-,-
Value-Based RL,RPE-free Q-Learning,RF-QL,e-greedy,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",RewardLearner_egreedy,RE,None,NUTS,None,-,-,-,-,-
Value-Based RL,RPE-free Q-Learning,RF-QL,softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",RewardLearner_softmax,RS,None,NUTS,None,-,-,-,-,-
Value-Based RL,RPE-free Q-Learning,RF-QL,softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),RewardLearner_softmax,RS,None,NUTS,None,-,-,-,-,-
Value-Based RL,RPE-free Q-Learning,RF-QL,e-softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",RewardLearner_esoftmax,RES,None,NUTS,None,-,-,-,-,-
Value-Based RL,RPE-free Q-Learning,RF-QL,e-softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),RewardLearner_esoftmax,RES,None,NUTS,None,-,-,-,-,-
Value-Based RL,RPE-free Q-Learning,RF-QL,e-softmax,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",RewardLearner_esoftmax,RES,None,NUTS,None,-,-,-,-,-
Value-Based RL,RPE-free Q-Learning,RF-QL,acceptreject,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",RewardLearner_acceptreject,RBR,None,NUTS,modelfits/acceptreject/RBR_2022_04_09_19_31_45.nc,-,-,-,-,-
Value-Based RL,RPE-free Q-Learning,RF-QL,acceptreject,weight,policy,Q-value weight,Normal,"Normal(0,1)",RewardLearner_acceptreject,RBR,None,NUTS,modelfits/acceptreject/RBR_2022_04_09_19_31_45.nc,-,-,-,-,-
Value-Based RL,RPE-free Q-Learning,RF-QL,acceptreject,intercept,policy,Q-value intercept,Normal,"Normal(0,1)",RewardLearner_acceptreject,RBR,None,NUTS,modelfits/acceptreject/RBR_2022_04_09_19_31_45.nc,-,-,-,-,-
Value-Based RL,Forgetting RPE-free Q-Learning,F-RF-QL,e-greedy,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",ForgettingRewardLearner_egreedy,FRE,None,NUTS,None,-,+,-,-,-
Value-Based RL,Forgetting RPE-free Q-Learning,F-RF-QL,e-greedy,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",ForgettingRewardLearner_egreedy,FRE,None,NUTS,None,-,+,-,-,-
Value-Based RL,Forgetting RPE-free Q-Learning,F-RF-QL,softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",ForgettingRewardLearner_softmax,FRS,None,NUTS,None,-,+,-,-,-
Value-Based RL,Forgetting RPE-free Q-Learning,F-RF-QL,softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),ForgettingRewardLearner_softmax,FRS,None,NUTS,None,-,+,-,-,-
Value-Based RL,Forgetting RPE-free Q-Learning,F-RF-QL,e-softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",ForgettingRewardLearner_esoftmax,FRES,None,NUTS,None,-,+,-,-,-
Value-Based RL,Forgetting RPE-free Q-Learning,F-RF-QL,e-softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),ForgettingRewardLearner_esoftmax,FRES,None,NUTS,None,-,+,-,-,-
Value-Based RL,Forgetting RPE-free Q-Learning,F-RF-QL,e-softmax,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",ForgettingRewardLearner_esoftmax,FRES,None,NUTS,None,-,+,-,-,-
Value-Based RL,Forgetting RPE-free Q-Learning,F-RF-QL,acceptreject,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",ForgettingRewardLearner_acceptreject,FRBR,None,NUTS,modelfits/acceptreject/FRBR_2022_04_22_22_08_26.nc,-,+,-,-,-
Value-Based RL,Forgetting RPE-free Q-Learning,F-RF-QL,acceptreject,weight,policy,Q-value weight,Normal,"Normal(0,1)",ForgettingRewardLearner_acceptreject,FRBR,None,NUTS,modelfits/acceptreject/FRBR_2022_04_22_22_08_26.nc,-,+,-,-,-
Value-Based RL,Forgetting RPE-free Q-Learning,F-RF-QL,acceptreject,intercept,policy,Q-value intercept,Normal,"Normal(0,1)",ForgettingRewardLearner_acceptreject,FRBR,None,NUTS,modelfits/acceptreject/FRBR_2022_04_22_22_08_26.nc,-,+,-,-,-
Value-Based RL,Immediate Q-Learning,I-QL,e-greedy,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",IQLearner_egreedy,IQE,None,NUTS,None,+,-,-,-,-
Value-Based RL,Immediate Q-Learning,I-QL,e-greedy,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",IQLearner_egreedy,IQE,None,NUTS,None,+,-,-,-,-
Value-Based RL,Immediate Q-Learning,I-QL,softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",IQLearner_softmax,IQS,None,NUTS,None,+,-,-,-,-
Value-Based RL,Immediate Q-Learning,I-QL,softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),IQLearner_softmax,IQS,None,NUTS,None,+,-,-,-,-
